2023-03-04 00:55:12.568 | INFO     | __main__:run:17 - 开始爬取数据
2023-03-04 00:55:12.571 | INFO     | meet.meet:handle:106 - <sqlite3.Cursor object at 0x000001623E75F640>
2023-03-04 00:55:12.582 | SUCCESS  | __main__:run:20 - 画面准备完毕
2023-03-04 00:55:22.584 | INFO     | __main__:run:17 - 开始爬取数据
2023-03-04 00:55:22.672 | INFO     | weather.weather:handle:84 - {'status': 'ok', 'temperature': 5.0, 'humidity': 0.92, 'cloudrate': 0.3, 'skycon': 'PARTLY_CLOUDY_NIGHT', 'visibility': 8.0, 'dswrf': 0.0, 'wind': {'speed': 2.99, 'direction': 58.0}, 'pressure': 102800.0, 'apparent_temperature': 3.6, 'precipitation': {'local': {'status': 'ok', 'datasource': 'radar', 'intensity': 0.0}, 'nearest': {'status': 'ok', 'distance': 10000.0, 'intensity': 0.0}}, 'air_quality': {'pm25': 16, 'pm10': 37, 'o3': 59, 'so2': 4, 'no2': 27, 'co': 0.4, 'aqi': {'chn': 37, 'usa': 59}, 'description': {'chn': '优', 'usa': '良'}}, 'life_index': {'ultraviolet': {'index': 0.0, 'desc': '无'}, 'comfort': {'index': 12, 'desc': '湿冷'}}}
2023-03-04 00:55:23.107 | SUCCESS  | __main__:run:20 - 画面准备完毕
2023-03-04 00:55:33.107 | INFO     | __main__:run:17 - 开始爬取数据
2023-03-04 00:55:33.108 | INFO     | meet.meet:handle:106 - <sqlite3.Cursor object at 0x0000016242D9C840>
2023-03-04 00:55:33.109 | SUCCESS  | __main__:run:20 - 画面准备完毕
2023-03-04 00:55:43.111 | INFO     | __main__:run:17 - 开始爬取数据
2023-03-04 00:55:43.112 | INFO     | meet.meet:handle:106 - <sqlite3.Cursor object at 0x0000016242D9C840>
2023-03-04 00:55:43.114 | SUCCESS  | __main__:run:20 - 画面准备完毕
2023-03-04 00:55:53.115 | INFO     | __main__:run:17 - 开始爬取数据
2023-03-04 00:55:53.116 | INFO     | meet.meet:handle:106 - <sqlite3.Cursor object at 0x0000016242D9C840>
2023-03-04 00:55:53.118 | SUCCESS  | __main__:run:20 - 画面准备完毕
